logm logg_abspl logg_1 logg_2 logg_3 logg_4 logg_5 logg_r20
-22.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-22.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-21.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-20.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-19.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-18.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-17.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-16.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-15.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.3 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-14.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.9 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.8 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.7 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.6 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.5 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.4 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.3 -12.1 -12.2 -12.0 -11.8 -12.0 -12.0 -12.1
-13.2 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.1 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-13.0 -12.1 -12.1 -12.0 -11.8 -12.0 -12.0 -12.1
-12.9 -12.1 -12.1 -11.8 -11.8 -12.0 -12.0 -12.1
-12.8 -12.1 -12.1 -11.8 -11.8 -12.0 -12.0 -12.1
-12.7 -12.2 -12.1 -11.8 -11.8 -12.0 -12.0 -12.1
-12.6 -12.1 -12.1 -11.8 -11.8 -12.1 -12.0 -12.0
-12.5 -12.1 -12.1 -11.9 -11.8 -12.0 -11.9 -12.1
-12.4 -12.2 -12.0 -11.9 -11.6 -12.0 -12.0 -12.1
-12.3 -12.1 -12.1 -11.9 -11.8 -11.9 -12.0 -12.1
-12.2 -12.1 -12.1 -11.9 -11.8 -12.0 -11.9 -12.0
-12.1 -12.1 -12.0 -11.8 -11.8 -12.0 -11.8 -12.1
-12.0 -11.9 -11.8 -11.8 -11.7 -11.9 -11.9 -11.9
-11.9 -12.0 -12.0 -11.8 -11.7 -11.9 -11.9 -12.0
-11.8 -11.9 -11.9 -11.8 -11.6 -11.9 -12.0 -11.8
-11.7 -11.9 -11.9 -11.9 -11.6 -12.0 -12.0 -11.8
-11.6 -11.8 -11.7 -12.0 -11.5 -12.0 -11.9 -11.7
-11.5 -11.7 -11.6 -11.9 -11.5 -12.0 -11.4 -11.8
-11.4 -11.6 -11.6 -12.0 -11.5 -12.0 -10.7 -11.7
-11.3 -11.4 -11.5 -11.8 -11.4 -11.9 -10.9 -11.5
-11.2 -11.4 -11.5 -11.6 -11.3 -11.8 -11.2 -11.5
-11.1 -11.5 -11.4 -11.5 -11.3 -11.5 -11.2 inf
